21 ;   14 ;   
31 ;   23 ;   
42 ;   25 ;   
66 ;   47 ;   
86 ;   56 ;   
104 ;   68 ;   
118 ;   88 ;   
152 ;   114 ;   
158 ;   118 ;   
173 ;   128 ;   
190 ;   143 ;   
199 ;   157 ;   
213 ;   174 ;   
221 ;   177 ;   
233 ;   187 ;   
238 ;   188 ;   
249 ;   196 ;   
257 ;   202 ;   
269 ;   216 ;   
273 ;   218 ;   
281 ;   229 ;   
291 ;   242 ;   
294 ;   243 ;   
306 ;   251 ;   
318 ;   262 ;   
329 ;   275 ;   
347 ;   291 ;   
360 ;   300 ;   
378 ;   315 ;   
393 ;   331 ;   
408 ;   345 ;   
430 ;   366 ;   
466 ;   395 ;   
510 ;   429 ;   
510 ;   429 ;   
510 ;   429 ;   
510 ;   429 ;   
510 ;   435 ;   
517 ;   437 ;   
541 ;   454 ;   
553 ;   461 ;   
565 ;   468 ;   
579 ;   475 ;   
589 ;   483 ;   
592 ;   488 ;   
605 ;   506 ;   
638 ;   521 ;   
664 ;   538 ;   
669 ;   541 ;   
699 ;   558 ;   
709 ;   562 ;   
731 ;   589 ;   
749 ;   598 ;   
771 ;   627 ;   
782 ;   640 ;   
803 ;   670 ;   
816 ;   688 ;   
865 ;   746 ;   
908 ;   778 ;   
917 ;   781 ;   
930 ;   790 ;   
939 ;   792 ;   
941 ;   794 ;   
957 ;   814 ;   
973 ;   822 ;   
975 ;   824 ;   
997 ;   839 ;   
1002 ;   844 ;   
1011 ;   852 ;   
1045 ;   881 ;   
1059 ;   888 ;   
1063 ;   896 ;   
1082 ;   915 ;   
1098 ;   921 ;   
1109 ;   933 ;   
1126 ;   947 ;   
1147 ;   959 ;   
1162 ;   977 ;   
1170 ;   986 ;   
1208 ;   1024 ;   
1214 ;   1029 ;   
1238 ;   1065 ;   
1248 ;   1070 ;   
1255 ;   1076 ;   
1270 ;   1107 ;   
1270 ;   1107 ;   
1290 ;   1128 ;   
1313 ;   1153 ;   
1328 ;   1165 ;   
1352 ;   1183 ;   
1355 ;   1185 ;   
1408 ;   1228 ;   
1408 ;   1228 ;   
1412 ;   1233 ;   
1452 ;   1273 ;   
1457 ;   1273 ;   
1476 ;   1286 ;   
1515 ;   1307 ;   
1515 ;   1309 ;   
1515 ;   1309 ;   
1515 ;   1309 ;   
1515 ;   1309 ;   
1518 ;   1309 ;   
1518 ;   1309 ;   
1518 ;   1309 ;   
1518 ;   1309 ;   
1518 ;   1309 ;   
1518 ;   1309 ;   
1521 ;   1311 ;   
1521 ;   1311 ;   
1523 ;   1324 ;   
1540 ;   1327 ;   
1567 ;   1345 ;   
1604 ;   1388 ;   
1630 ;   1407 ;   
1631 ;   1407 ;   
1637 ;   1424 ;   
1637 ;   1424 ;   
1637 ;   1424 ;   
1638 ;   1424 ;   
1640 ;   1433 ;   
1654 ;   1457 ;   
1672 ;   1478 ;   
1687 ;   1494 ;   
1707 ;   1505 ;   
1723 ;   1526 ;   
1736 ;   1539 ;   
1757 ;   1556 ;   
1774 ;   1564 ;   
1789 ;   1575 ;   
1792 ;   1578 ;   
1824 ;   1650 ;   
1830 ;   1657 ;   
1843 ;   1668 ;   
1843 ;   1671 ;   
1851 ;   1677 ;   
1855 ;   1682 ;   
1855 ;   1684 ;   
1883 ;   1706 ;   
1898 ;   1721 ;   
1900 ;   1721 ;   
1904 ;   1729 ;   
