6 ;   7 ;   
16 ;   20 ;   
20 ;   24 ;   
21 ;   25 ;   
22 ;   26 ;   
27 ;   31 ;   
35 ;   41 ;   
50 ;   58 ;   
56 ;   63 ;   
85 ;   99 ;   
104 ;   110 ;   
121 ;   125 ;   
132 ;   135 ;   
135 ;   136 ;   
137 ;   143 ;   
138 ;   144 ;   
146 ;   158 ;   
146 ;   160 ;   
158 ;   172 ;   
161 ;   177 ;   
171 ;   188 ;   
185 ;   205 ;   
185 ;   205 ;   
194 ;   216 ;   
195 ;   216 ;   
195 ;   216 ;   
196 ;   217 ;   
196 ;   217 ;   
222 ;   249 ;   
222 ;   250 ;   
244 ;   271 ;   
244 ;   272 ;   
244 ;   272 ;   
255 ;   290 ;   
260 ;   294 ;   
260 ;   294 ;   
260 ;   294 ;   
260 ;   294 ;   
260 ;   294 ;   
260 ;   294 ;   
265 ;   301 ;   
269 ;   308 ;   
270 ;   315 ;   
290 ;   341 ;   
297 ;   345 ;   
306 ;   358 ;   
310 ;   364 ;   
329 ;   394 ;   
335 ;   401 ;   
337 ;   404 ;   
359 ;   419 ;   
367 ;   425 ;   
378 ;   448 ;   
402 ;   465 ;   
412 ;   482 ;   
442 ;   520 ;   
458 ;   537 ;   
459 ;   539 ;   
462 ;   546 ;   
463 ;   547 ;   
488 ;   572 ;   
505 ;   595 ;   
514 ;   600 ;   
515 ;   603 ;   
515 ;   605 ;   
515 ;   606 ;   
535 ;   633 ;   
584 ;   658 ;   
589 ;   660 ;   
598 ;   667 ;   
609 ;   681 ;   
685 ;   741 ;   
692 ;   748 ;   
693 ;   752 ;   
699 ;   758 ;   
726 ;   776 ;   
726 ;   779 ;   
755 ;   799 ;   
768 ;   807 ;   
788 ;   833 ;   
801 ;   844 ;   
803 ;   848 ;   
803 ;   849 ;   
829 ;   872 ;   
842 ;   888 ;   
842 ;   888 ;   
846 ;   890 ;   
867 ;   907 ;   
893 ;   924 ;   
894 ;   924 ;   
899 ;   930 ;   
903 ;   933 ;   
903 ;   933 ;   
906 ;   933 ;   
911 ;   939 ;   
915 ;   946 ;   
921 ;   951 ;   
928 ;   964 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
929 ;   966 ;   
970 ;   1011 ;   
973 ;   1014 ;   
977 ;   1017 ;   
977 ;   1017 ;   
977 ;   1017 ;   
977 ;   1017 ;   
977 ;   1017 ;   
977 ;   1017 ;   
977 ;   1017 ;   
988 ;   1028 ;   
1000 ;   1034 ;   
1002 ;   1037 ;   
1012 ;   1049 ;   
1034 ;   1071 ;   
1054 ;   1091 ;   
1060 ;   1097 ;   
1074 ;   1107 ;   
1083 ;   1112 ;   
1095 ;   1120 ;   
1095 ;   1120 ;   
1109 ;   1135 ;   
1120 ;   1144 ;   
1136 ;   1158 ;   
1142 ;   1165 ;   
1154 ;   1178 ;   
